participant_id	age	sex	handedness
sub-01	16	M	Rt
sub-02	17	F	Rt
sub-03	15	F	Rt
sub-04	14	M	Rt
sub-05	16	F	Rt
sub-06	17	F	Rt
sub-07	10	M	Rt
sub-08	8	F	Rt
sub-09	8	M	Rt
sub-10	11	F	Rt
sub-100	16	M	Rt
sub-101	18	F	Rt
sub-102	17	M	Rt
sub-103	8	M	Lt
sub-104	17	M	Rt
sub-105	14	M	Rt
sub-106	10	F	Rt
sub-11	10	M	Lt
sub-12	15	M	Rt
sub-13	19	F	Rt
sub-14	8	M	Rt
sub-15	14	F	Rt
sub-16	11	M	Rt
sub-17	13	M	Rt
sub-18	10	M	Rt
sub-19	5	M	Rt
sub-20	16	F	Rt
sub-21	16	M	Rt
sub-22	37	F	Rt
sub-23	11	F	Rt
sub-24	21	F	Lt
sub-25	15	F	Rt
sub-26	5	F	Rt
sub-27	14	F	Rt
sub-28	28	F	Rt
sub-29	14	F	Rt
sub-30	13	F	Rt
sub-31	41	F	Rt
sub-32	12	M	Rt
sub-33	8	M	Rt
sub-34	10	M	Rt
sub-35	12	M	Rt
sub-36	28	M	Rt
sub-37	27	F	Rt
sub-38	17	M	Rt
sub-39	14	M	Rt
sub-40	15	F	Rt
sub-41	6	F	Lt
sub-42	17	M	Rt
sub-43	4	M	Rt
sub-44	12	F	Rt
sub-45	5	F	Rt
sub-46	9	F	Rt
sub-47	30	M	Rt
sub-48	13	M	Rt
sub-49	17	M	Lt
sub-50	16	M	Rt
sub-51	8	M	Rt
sub-52	13	F	Rt
sub-53	14	F	Rt
sub-54	12	M	Rt
sub-55	13	F	Rt
sub-56	11	F	Rt
sub-57	15	M	Rt
sub-58	14	F	Rt
sub-59	11	F	Rt
sub-60	12	F	Rt
sub-61	17	M	Lt
sub-62	11	F	Rt
sub-63	17	M	Rt
sub-64	10	F	Rt
sub-65	13	M	Rt
sub-66	11	M	Rt
sub-67	16	M	Rt
sub-68	15	M	Rt
sub-69	15	M	Rt
sub-70	10	M	Rt
sub-71	10	M	Rt
sub-72	16	M	Rt
sub-73	12	F	Rt
sub-74	8	M	Rt
sub-75	14	F	Rt
sub-76	19	M	Rt
sub-77	6	F	Rt
sub-78	8	M	Rt
sub-79	16	M	Rt
sub-80	19	F	Rt
sub-81	15	F	Rt
sub-82	14	F	Rt
sub-83	5	F	Lt
sub-84	16	F	Rt
sub-85	13	M	Rt
sub-86	16	F	Rt
sub-87	9	M	Rt
sub-88	13	M	Rt
sub-89	11	M	Rt
sub-90	13	F	Rt
sub-91	20	M	Rt
sub-92	15	F	Rt
sub-93	8	F	Rt
sub-94	6	M	Rt
sub-95	16	M	Rt
sub-96	17	M	Lt
sub-97	13	M	Rt
sub-98	17	M	Rt
sub-99	15	F	Rt
